TEDIS PHARMA CI;;;STATISTIQUES LABORATOIRE ECLATEES PAR CLIENT
Votre partenaire Santé;;;INOX PHARMA - CROIENT PHARMA

CIP;Désignation du produit;Client;Mai-26;Avr.-26;Mar.-26;Fév.-26;Jan.-26;Déc.-25
3000000381571;AZIENT 500MG CPR PELL B/3;CYD NIKO DES LAURIERS;1;0;0;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;D ABOBOTE;2;0;0;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;D ADZOPE;0;0;0;0;1;0
3000000381571;AZIENT 500MG CPR PELL B/3;DE FLAKIEDOUGOU;10;0;0;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;DE GALEBRE;0;0;0;4;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;DE GUEYO CESSION;0;0;0;0;0;16
3000000381571;AZIENT 500MG CPR PELL B/3;DE KANI;0;0;5;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;DE L'IMMACULEE CONCEPTION SARLU;0;0;1;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;DE LA BENEDICTION;0;0;3;2;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;DE LA FONDATION;0;0;0;5;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;DE LA GARE DE SINFRA;0;2;1;2;1;1
3000000381571;AZIENT 500MG CPR PELL B/3;DE LA GARE SARL;5;0;0;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;DE LA MAIRIE DE YOPOUGON;0;0;0;0;2;0
3000000381571;AZIENT 500MG CPR PELL B/3;DE LA MOSQUEE YAMOUSSOUKRO;3;1;2;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;DE LA RIVE GAUCHE;3;2;2;2;6;8
3000000381571;AZIENT 500MG CPR PELL B/3;DE LA RIVIERA;8;0;11;0;5;0
3000000381571;AZIENT 500MG CPR PELL B/3;DE LAKOTA;0;0;0;2;3;0
3000000381571;AZIENT 500MG CPR PELL B/3;DE PARA;30;10;20;70;50;50
3000000381571;AZIENT 500MG CPR PELL B/3;DE SOBA KORHOGO;0;3;0;0;3;0
3000000381571;AZIENT 500MG CPR PELL B/3;DE TAÏ;0;3;0;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;DE YAMOUSSOUKRO;0;6;4;2;5;0
3000000381571;AZIENT 500MG CPR PELL B/3;DES 220 LOGEMENTS-YAKRO;0;0;0;2;1;0
3000000381571;AZIENT 500MG CPR PELL B/3;DES LAGUNES ( DABOU);0;0;0;0;2;0
